material_id,cif,energy_per_atom,formation_energy_per_atom,energy_above_hull,band_gap
27494,"# generated using pymatgen
data_La2CoO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.48754788
_cell_length_b   5.74836900
_cell_length_c   12.54695534
_cell_angle_alpha   89.99965620
_cell_angle_beta   90.00102792
_cell_angle_gamma   90.00313393
_symmetry_Int_Tables_number   1
_chemical_formula_structural   La2CoO4
_chemical_formula_sum   'La8 Co4 O16'
_cell_volume   395.78680616
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.00001100  0.48201100  0.13804200  1
  La  La1  1  0.49998600  0.48203500  0.63805500  1
  La  La2  1  0.50002200  0.51795400  0.36195200  1
  La  La3  1  0.99999600  0.51800400  0.86195200  1
  La  La4  1  0.99999200  0.98202900  0.36195000  1
  La  La5  1  0.49997500  0.98202500  0.86194200  1
  La  La6  1  0.50000600  0.01796800  0.13805600  1
  La  La7  1  0.99998700  0.01797100  0.63805400  1
  Co  Co8  1  0.00000200  0.49999900  0.50000000  1
  Co  Co9  1  0.00000100  0.00000100  0.00000000  1
  Co  Co10  1  0.50000100  0.50000200  0.00000000  1
  Co  Co11  1  0.50000200  0.00000300  0.50000000  1
  O  O12  1  0.99999200  0.57348800  0.31793900  1
  O  O13  1  0.49999700  0.57347900  0.81796000  1
  O  O14  1  0.50000400  0.42651500  0.18203900  1
  O  O15  1  0.00001200  0.42651300  0.68205900  1
  O  O16  1  0.99999700  0.07348600  0.18206800  1
  O  O17  1  0.49999700  0.07349400  0.68205000  1
  O  O18  1  0.50000200  0.92650000  0.31795000  1
  O  O19  1  0.00000700  0.92651300  0.81793000  1
  O  O20  1  0.25000300  0.25000700  0.48054600  1
  O  O21  1  0.74999800  0.24998500  0.98054600  1
  O  O22  1  0.75000300  0.75003000  0.01945100  1
  O  O23  1  0.24999500  0.74998700  0.51945300  1
  O  O24  1  0.75000800  0.25001800  0.48054800  1
  O  O25  1  0.25000500  0.24997600  0.98055000  1
  O  O26  1  0.25000800  0.75002200  0.01945300  1
  O  O27  1  0.74999200  0.74998700  0.51945500  1
",-8.338943668,-3.082190103,0.049710881,0.3608
622353,"# generated using pymatgen
data_La4(CoO3)3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.48657700
_cell_length_b   5.74537900
_cell_length_c   28.45084000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   La4(CoO3)3
_chemical_formula_sum   'La16 Co12 O36'
_cell_volume   896.84058757
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.75128900  0.97957700  0.32838500  1
  La  La1  1  0.25380800  0.48291800  0.04931600  1
  La  La2  1  0.24871100  0.02042300  0.67161500  1
  La  La3  1  0.25128900  0.52042300  0.32838500  1
  La  La4  1  0.74871100  0.47957700  0.67161500  1
  La  La5  1  0.75380800  0.01708200  0.04931600  1
  La  La6  1  0.74871100  0.47957700  0.82838500  1
  La  La7  1  0.24871100  0.02042300  0.82838500  1
  La  La8  1  0.24619200  0.98291800  0.54931600  1
  La  La9  1  0.74619200  0.51708200  0.95068400  1
  La  La10  1  0.74619200  0.51708200  0.54931600  1
  La  La11  1  0.75380800  0.01708200  0.45068400  1
  La  La12  1  0.24619200  0.98291800  0.95068400  1
  La  La13  1  0.25128900  0.52042300  0.17161500  1
  La  La14  1  0.25380800  0.48291800  0.45068400  1
  La  La15  1  0.75128900  0.97957700  0.17161500  1
  Co  Co16  1  0.29644900  0.05978800  0.25000000  1
  Co  Co17  1  0.24960500  0.50106900  0.60953800  1
  Co  Co18  1  0.75039500  0.49893100  0.10953800  1
  Co  Co19  1  0.25039500  0.00106900  0.10953800  1
  Co  Co20  1  0.79644900  0.44021200  0.25000000  1
  Co  Co21  1  0.24960500  0.50106900  0.89046200  1
  Co  Co22  1  0.74960500  0.99893100  0.60953800  1
  Co  Co23  1  0.20355100  0.55978800  0.75000000  1
  Co  Co24  1  0.74960500  0.99893100  0.89046200  1
  Co  Co25  1  0.70355100  0.94021200  0.75000000  1
  Co  Co26  1  0.25039500  0.00106900  0.39046200  1
  Co  Co27  1  0.75039500  0.49893100  0.39046200  1
  O  O28  1  0.99981200  0.75006000  0.61912100  1
  O  O29  1  0.26352600  0.42074900  0.81151800  1
  O  O30  1  0.73647400  0.57925100  0.31151800  1
  O  O31  1  0.23647400  0.92074900  0.18848200  1
  O  O32  1  0.75364300  0.93253700  0.52995600  1
  O  O33  1  0.50453100  0.75360500  0.39834300  1
  O  O34  1  0.50018800  0.25006000  0.11912100  1
  O  O35  1  0.24635700  0.06746300  0.47004400  1
  O  O36  1  0.74635700  0.43253700  0.47004400  1
  O  O37  1  0.66945400  0.11169500  0.25000000  1
  O  O38  1  0.49546900  0.24639500  0.89834300  1
  O  O39  1  0.49981200  0.74994000  0.61912100  1
  O  O40  1  0.76352600  0.07925100  0.68848200  1
  O  O41  1  0.76352600  0.07925100  0.81151800  1
  O  O42  1  0.00453100  0.74639500  0.39834300  1
  O  O43  1  0.75364300  0.93253700  0.97004400  1
  O  O44  1  0.25364300  0.56746300  0.97004400  1
  O  O45  1  0.50018800  0.25006000  0.38087900  1
  O  O46  1  0.00018800  0.24994000  0.11912100  1
  O  O47  1  0.99981200  0.75006000  0.88087900  1
  O  O48  1  0.00453100  0.74639500  0.10165700  1
  O  O49  1  0.99546900  0.25360500  0.89834300  1
  O  O50  1  0.33054600  0.88830500  0.75000000  1
  O  O51  1  0.16945400  0.38830500  0.25000000  1
  O  O52  1  0.25364300  0.56746300  0.52995600  1
  O  O53  1  0.83054600  0.61169500  0.75000000  1
  O  O54  1  0.49981200  0.74994000  0.88087900  1
  O  O55  1  0.74635700  0.43253700  0.02995600  1
  O  O56  1  0.99546900  0.25360500  0.60165700  1
  O  O57  1  0.24635700  0.06746300  0.02995600  1
  O  O58  1  0.00018800  0.24994000  0.38087900  1
  O  O59  1  0.49546900  0.24639500  0.60165700  1
  O  O60  1  0.50453100  0.75360500  0.10165700  1
  O  O61  1  0.23647400  0.92074900  0.31151800  1
  O  O62  1  0.73647400  0.57925100  0.18848200  1
  O  O63  1  0.26352600  0.42074900  0.68848200  1
",-8.190245517,-2.835500041,0.063892214,0.563
25232,"# generated using pymatgen
data_La4CoO8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.91961077
_cell_length_b   6.91961077
_cell_length_c   5.34915400
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   134.87873690
_symmetry_Int_Tables_number   1
_chemical_formula_structural   La4CoO8
_chemical_formula_sum   'La4 Co1 O8'
_cell_volume   181.48914376
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.63369000  0.36631000  0.50000000  1
  La  La1  1  0.86543500  0.13456500  0.00000000  1
  La  La2  1  0.13456500  0.86543500  0.00000000  1
  La  La3  1  0.36631000  0.63369000  0.50000000  1
  Co  Co4  1  0.00000000  0.00000000  0.50000000  1
  O  O5  1  0.24809600  0.24809600  0.73835400  1
  O  O6  1  0.75190400  0.75190400  0.73835400  1
  O  O7  1  0.83842100  0.16157900  0.50000000  1
  O  O8  1  0.16157900  0.83842100  0.50000000  1
  O  O9  1  0.75190400  0.75190400  0.26164600  1
  O  O10  1  0.31175400  0.68824600  0.00000000  1
  O  O11  1  0.68824600  0.31175400  0.00000000  1
  O  O12  1  0.24809600  0.24809600  0.26164600  1
",-8.307396211,-3.195001351,0.041083079,0.2972
778224,"# generated using pymatgen
data_La4CoO8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   13.34413013
_cell_length_b   13.34413013
_cell_length_c   13.34413013
_cell_angle_alpha   157.00893556
_cell_angle_beta   157.00893556
_cell_angle_gamma   32.74019711
_symmetry_Int_Tables_number   1
_chemical_formula_structural   La4CoO8
_chemical_formula_sum   'La8 Co2 O16'
_cell_volume   362.18950074
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.06535200  0.56535200  0.50000000  1
  La  La1  1  0.93152600  0.43152600  0.50000000  1
  La  La2  1  0.68464800  0.68464800  0.00000000  1
  La  La3  1  0.31535200  0.31535200  0.00000000  1
  La  La4  1  0.81847400  0.81847400  0.00000000  1
  La  La5  1  0.18152600  0.18152600  0.00000000  1
  La  La6  1  0.56847400  0.06847400  0.50000000  1
  La  La7  1  0.43464800  0.93464800  0.50000000  1
  Co  Co8  1  0.25000000  0.75000000  0.50000000  1
  Co  Co9  1  0.50000000  0.50000000  0.00000000  1
  O  O10  1  0.00673100  0.50673100  0.01346100  1
  O  O11  1  0.74326900  0.25673100  0.00000000  1
  O  O12  1  0.00673100  0.99326900  0.50000000  1
  O  O13  1  0.84328600  0.34328600  0.50000000  1
  O  O14  1  0.16902100  0.66902100  0.50000000  1
  O  O15  1  0.25673100  0.25673100  0.51346100  1
  O  O16  1  0.49326900  0.50673100  0.50000000  1
  O  O17  1  0.74326900  0.74326900  0.48653900  1
  O  O18  1  0.09328600  0.09328600  0.00000000  1
  O  O19  1  0.49326900  0.99326900  0.98653900  1
  O  O20  1  0.58097900  0.58097900  0.00000000  1
  O  O21  1  0.25673100  0.74326900  0.00000000  1
  O  O22  1  0.41902100  0.41902100  0.00000000  1
  O  O23  1  0.90671400  0.90671400  0.00000000  1
  O  O24  1  0.33097900  0.83097900  0.50000000  1
  O  O25  1  0.65671400  0.15671400  0.50000000  1
",-8.30512281,-3.19272795,0.043356479,0.9386
1180725,"# generated using pymatgen
data_LaCoO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.42713346
_cell_length_b   5.37797427
_cell_length_c   5.42064180
_cell_angle_alpha   60.92337332
_cell_angle_beta   60.47313587
_cell_angle_gamma   60.65933577
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LaCoO3
_chemical_formula_sum   'La2 Co2 O6'
_cell_volume   113.59993529
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.74887637  0.75260972  0.24890986  1
  La  La1  1  0.25110747  0.24738382  0.75115104  1
  Co  Co2  1  0.49999829  0.49999484  -0.00000067  1
  Co  Co3  1  0.00000633  -0.00000148  0.49999184  1
  O  O4  1  0.26947165  0.69527255  0.30639707  1
  O  O5  1  0.73053191  0.30473167  0.69358809  1
  O  O6  1  0.80548312  0.22881859  0.19514401  1
  O  O7  1  0.19452241  0.77118644  0.80483732  1
  O  O8  1  0.71094071  0.78867270  0.74961064  1
  O  O9  1  0.28906574  0.21133214  0.25036878  1
",-7.943823356,-2.561161988,0.03876415,1.104
1185232,"# generated using pymatgen
data_LaCoO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.46744700
_cell_length_b   5.55013600
_cell_length_c   7.80973500
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LaCoO3
_chemical_formula_sum   'La4 Co4 O12'
_cell_volume   236.98698980
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.51031300  0.99391800  0.75000000  1
  La  La1  1  0.98968700  0.49391800  0.25000000  1
  La  La2  1  0.01031300  0.50608200  0.75000000  1
  La  La3  1  0.48968700  0.00608200  0.25000000  1
  Co  Co4  1  0.50000000  0.50000000  0.50000000  1
  Co  Co5  1  0.00000000  0.00000000  0.50000000  1
  Co  Co6  1  0.00000000  0.00000000  0.00000000  1
  Co  Co7  1  0.50000000  0.50000000  0.00000000  1
  O  O8  1  0.23645200  0.25473300  0.45762900  1
  O  O9  1  0.26354800  0.75473300  0.54237100  1
  O  O10  1  0.73645200  0.24526700  0.04237100  1
  O  O11  1  0.76354800  0.74526700  0.95762900  1
  O  O12  1  0.76354800  0.74526700  0.54237100  1
  O  O13  1  0.73645200  0.24526700  0.45762900  1
  O  O14  1  0.26354800  0.75473300  0.95762900  1
  O  O15  1  0.23645200  0.25473300  0.04237100  1
  O  O16  1  0.99825400  0.07322700  0.75000000  1
  O  O17  1  0.50174600  0.57322700  0.25000000  1
  O  O18  1  0.49825400  0.42677300  0.75000000  1
  O  O19  1  0.00174600  0.92677300  0.25000000  1
",-7.935100783,-2.552439415,0.047486723,0.973
1272753,"# generated using pymatgen
data_LaCoO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.55835292
_cell_length_b   9.40183245
_cell_length_c   5.54780225
_cell_angle_alpha   90.11985765
_cell_angle_beta   60.68547882
_cell_angle_gamma   72.89825823
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LaCoO3
_chemical_formula_sum   'La4 Co4 O12'
_cell_volume   237.87742730
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.25228200  0.87556200  0.11864600  1
  La  La1  1  0.24876600  0.37304600  0.63244700  1
  La  La2  1  0.75247000  0.62539500  0.37255400  1
  La  La3  1  0.74891600  0.12719400  0.87366500  1
  Co  Co4  1  0.50486600  0.99952300  0.49523900  1
  Co  Co5  1  0.00110700  0.75055600  0.74554400  1
  Co  Co6  1  0.49501900  0.50333100  0.00446600  1
  Co  Co7  1  0.00030400  0.24846900  0.25487700  1
  O  O8  1  0.31923600  0.61873500  0.36527800  1
  O  O9  1  0.32891000  0.11948000  0.85342800  1
  O  O10  1  0.67835500  0.88167100  0.13486900  1
  O  O11  1  0.67385200  0.37406400  0.65163600  1
  O  O12  1  0.74356700  0.62932000  0.80983800  1
  O  O13  1  0.74931700  0.12679600  0.30545200  1
  O  O14  1  0.26367000  0.87519100  0.67707000  1
  O  O15  1  0.24379500  0.36803600  0.19585000  1
  O  O16  1  0.18358700  0.12306200  0.44341300  1
  O  O17  1  0.17654500  0.62717000  0.94486200  1
  O  O18  1  0.82259200  0.37444500  0.06964500  1
  O  O19  1  0.81284300  0.87895600  0.55121300  1
",-7.952157687,-2.569496319,0.03042982,0.6739
1288145,"# generated using pymatgen
data_LaCoO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.47524949
_cell_length_b   5.46835579
_cell_length_c   5.44102680
_cell_angle_alpha   61.18310058
_cell_angle_beta   61.09933598
_cell_angle_gamma   61.05012142
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LaCoO3
_chemical_formula_sum   'La2 Co2 O6'
_cell_volume   118.07297698
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.74812000  0.75038400  0.25177200  1
  La  La1  1  0.25188000  0.24961700  0.74822800  1
  Co  Co2  1  0.50000000  0.50000000  0.00000000  1
  Co  Co3  1  0.00000000  0.00000000  0.50000000  1
  O  O4  1  0.24633900  0.69223600  0.31666800  1
  O  O5  1  0.75366100  0.30776500  0.68333100  1
  O  O6  1  0.82102100  0.24177200  0.19225400  1
  O  O7  1  0.17897900  0.75822900  0.80774600  1
  O  O8  1  0.69399000  0.81912400  0.73701900  1
  O  O9  1  0.30601000  0.18087600  0.26298100  1
",-7.982587506,-2.599926138,0.0,0.9497
1504268,"# generated using pymatgen
data_LaCoO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.51691684
_cell_length_b   5.51691684
_cell_length_c   5.46019130
_cell_angle_alpha   60.77948044
_cell_angle_beta   60.77948044
_cell_angle_gamma   60.58956079
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LaCoO3
_chemical_formula_sum   'La2 Co2 O6'
_cell_volume   119.41139253
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.25557700  0.74442300  0.25000000  1
  La  La1  1  0.74442300  0.25557700  0.75000000  1
  Co  Co2  1  0.00000000  0.50000000  0.00000000  1
  Co  Co3  1  0.50000000  0.00000000  0.50000000  1
  O  O4  1  0.29537800  0.29219700  0.69874300  1
  O  O5  1  0.70462200  0.70780300  0.30125700  1
  O  O6  1  0.70780300  0.70462200  0.80125700  1
  O  O7  1  0.29219700  0.29537800  0.19874300  1
  O  O8  1  0.82912100  0.17087900  0.25000000  1
  O  O9  1  0.17087900  0.82912100  0.75000000  1
",-7.92744226,-2.544780892,0.055145246,0.9398
19051,"# generated using pymatgen
data_LaCoO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.36115326
_cell_length_b   7.62069411
_cell_length_c   5.44114223
_cell_angle_alpha   90.03294689
_cell_angle_beta   89.78964199
_cell_angle_gamma   91.17317138
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LaCoO3
_chemical_formula_sum   'La4 Co4 O12'
_cell_volume   222.25359957
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.24948189  0.50008245  0.74973429  1
  La  La1  1  0.75070548  0.99971385  0.24974338  1
  La  La2  1  0.74926907  0.50030485  0.25025609  1
  La  La3  1  0.25051783  -0.00008772  0.75027330  1
  Co  Co4  1  0.25000058  0.74999871  0.24998345  1
  Co  Co5  1  0.25000039  0.25000255  0.24999042  1
  Co  Co6  1  0.75000906  0.25000033  0.75000597  1
  Co  Co7  1  0.75000205  0.74999776  0.75000620  1
  O  O8  1  0.74788768  0.50004586  0.80596392  1
  O  O9  1  0.24743342  -0.00003262  0.30594663  1
  O  O10  1  0.25257306  0.50002950  0.19405688  1
  O  O11  1  0.75211279  -0.00004729  0.69403061  1
  O  O12  1  0.02657840  0.22382499  0.97342265  1
  O  O13  1  0.52400098  0.72343835  0.47603154  1
  O  O14  1  0.97599525  0.77655788  0.02397584  1
  O  O15  1  0.47342568  0.27617057  0.52657432  1
  O  O16  1  0.47533472  0.77944245  0.97536810  1
  O  O17  1  0.97285144  0.27913951  0.47285524  1
  O  O18  1  0.52714478  0.22086722  0.02714320  1
  O  O19  1  0.02467445  0.72055081  0.52463796  1
",-7.979271121,-2.596609753,0.003316385,1.0014
